TOKEN,PDATE,PDTIME,MCIP
00027,2024-03-01,2024-03-01 08:43:00,CK5O223960333
00011,2024-03-01,2024-03-01 09:03:00,CK5O223960352
11514T,2024-03-01,2024-03-01 12:12:00,CK5O223960315
00027,2024-03-01,2024-03-01 17:33:00,CK5O223960333
00011,2024-03-01,2024-03-01 19:27:00,CK5O223960352
11514T,2024-03-01,2024-03-01 20:59:00,CK5O223960315
00027,2024-03-02,2024-03-02 08:28:00,CK5O223960333
00011,2024-03-02,2024-03-02 09:01:00,CK5O223960352
11514T,2024-03-02,2024-03-02 12:06:00,CK5O223960315
00027,2024-03-02,2024-03-02 18:35:00,CK5O223960333
00011,2024-03-02,2024-03-02 19:36:00,CK5O223960352
11514T,2024-03-02,2024-03-02 21:24:00,CK5O223960315
00027,2024-03-03,2024-03-03 08:48:00,CK5O223960333
00011,2024-03-03,2024-03-03 09:36:00,CK5O223960352
00027,2024-03-03,2024-03-03 17:04:00,CK5O223960333
00011,2024-03-03,2024-03-03 17:21:00,CK5O223960352
00027,2024-03-04,2024-03-04 08:36:00,CK5O223960333
00011,2024-03-04,2024-03-04 09:08:00,CK5O223960352
11514T,2024-03-04,2024-03-04 09:17:00,CK5O223960315
00027,2024-03-04,2024-03-04 18:33:00,CK5O223960333
11514T,2024-03-04,2024-03-04 18:42:00,CK5O223960315
00011,2024-03-04,2024-03-04 19:35:00,CK5O223960352
00027,2024-03-05,2024-03-05 08:39:00,CK5O223960333
00011,2024-03-05,2024-03-05 09:04:00,CK5O223960352
11514T,2024-03-05,2024-03-05 09:15:00,CK5O223960315
00027,2024-03-05,2024-03-05 18:31:00,CK5O223960333
11514T,2024-03-05,2024-03-05 18:41:00,CK5O223960315
00011,2024-03-05,2024-03-05 19:35:00,CK5O223960352
00027,2024-03-06,2024-03-06 08:36:00,CK5O223960333
00011,2024-03-06,2024-03-06 09:03:00,CK5O223960352
11514T,2024-03-06,2024-03-06 09:26:00,CK5O223960315
11514T,2024-03-06,2024-03-06 18:28:00,CK5O223960315
00027,2024-03-06,2024-03-06 18:31:00,CK5O223960333
00011,2024-03-06,2024-03-06 19:34:00,CK5O223960352
00027,2024-03-07,2024-03-07 08:42:00,CK5O223960333
00011,2024-03-07,2024-03-07 09:05:00,CK5O223960352
11514T,2024-03-07,2024-03-07 09:18:00,CK5O223960315
00027,2024-03-07,2024-03-07 18:33:00,CK5O223960333
11514T,2024-03-07,2024-03-07 18:41:00,CK5O223960315
00011,2024-03-07,2024-03-07 19:34:00,CK5O223960352
00027,2024-03-08,2024-03-08 08:26:00,CK5O223960333
00011,2024-03-08,2024-03-08 09:06:00,CK5O223960352
11514T,2024-03-08,2024-03-08 09:18:00,CK5O223960315
00027,2024-03-08,2024-03-08 17:33:00,CK5O223960333
11514T,2024-03-08,2024-03-08 18:39:00,CK5O223960315
00011,2024-03-08,2024-03-08 18:45:00,CK5O223960352
00027,2024-03-11,2024-03-11 08:35:00,CK5O223960333
00011,2024-03-11,2024-03-11 09:08:00,CK5O223960333
11514T,2024-03-11,2024-03-11 12:00:00,CK5O223960315
00027,2024-03-11,2024-03-11 17:34:00,CK5O223960333
00011,2024-03-11,2024-03-11 19:40:00,CK5O223960352
11514T,2024-03-11,2024-03-11 21:04:00,CK5O223960315
00027,2024-03-12,2024-03-12 08:33:00,CK5O223960333
00011,2024-03-12,2024-03-12 08:55:00,CK5O223960352
11514T,2024-03-12,2024-03-12 11:58:00,CK5O223960315
00027,2024-03-12,2024-03-12 17:34:00,CK5O223960333
00011,2024-03-12,2024-03-12 19:34:00,CK5O223960352
11514T,2024-03-12,2024-03-12 21:05:00,CK5O223960315
00027,2024-03-13,2024-03-13 08:48:00,CK5O223960333
00011,2024-03-13,2024-03-13 09:03:00,CK5O223960352
11514T,2024-03-13,2024-03-13 12:06:00,CK5O223960315
00027,2024-03-13,2024-03-13 17:32:00,CK5O223960333
00011,2024-03-13,2024-03-13 19:33:00,CK5O223960352
11514T,2024-03-13,2024-03-13 21:38:00,CK5O223960315
00011,2024-03-14,2024-03-14 08:59:00,CK5O223960352
00011,2024-03-14,2024-03-14 19:33:00,CK5O223960352
11514T,2024-03-14,2024-03-14 21:10:00,CK5O223960315
00027,2024-03-15,2024-03-15 08:23:00,CK5O223960333
00011,2024-03-15,2024-03-15 09:05:00,CK5O223960352
11514T,2024-03-15,2024-03-15 12:12:00,CK5O223960315
00027,2024-03-15,2024-03-15 17:33:00,CK5O223960333
00011,2024-03-15,2024-03-15 19:32:00,CK5O223960352
11514T,2024-03-15,2024-03-15 21:56:00,CK5O223960315
00027,2024-03-16,2024-03-16 08:41:00,CK5O223960333
00011,2024-03-16,2024-03-16 09:05:00,CK5O223960352
00027,2024-03-16,2024-03-16 17:35:00,CK5O223960333
00011,2024-03-16,2024-03-16 19:39:00,CK5O223960352
11514T,2024-03-16,2024-03-16 21:12:00,CK5O223960315
00027,2024-03-18,2024-03-18 08:31:00,CK5O223960333
00011,2024-03-18,2024-03-18 09:05:00,CK5O223960352
11514T,2024-03-18,2024-03-18 09:18:00,CK5O223960315
00027,2024-03-18,2024-03-18 17:33:00,CK5O223960333
11514T,2024-03-18,2024-03-18 18:40:00,CK5O223960315
00011,2024-03-18,2024-03-18 19:35:00,CK5O223960352
11514T,2024-03-19,2024-03-19 08:12:00,CK5O223960315
00027,2024-03-19,2024-03-19 08:35:00,CK5O223960333
00011,2024-03-19,2024-03-19 09:07:00,CK5O223960352
11514T,2024-03-19,2024-03-19 16:57:00,CK5O223960315
00027,2024-03-19,2024-03-19 17:34:00,CK5O223960333
00011,2024-03-19,2024-03-19 19:31:00,CK5O223960352
11514T,2024-03-20,2024-03-20 07:43:00,CK5O223960315
00027,2024-03-20,2024-03-20 08:35:00,CK5O223960333
00011,2024-03-20,2024-03-20 08:59:00,CK5O223960352
